angular_z,linear_x,left_forward,right_forward,left_side,right_side,ans,time
-0.039095376,0.121200003,192,174,453,425,0,0.05
-0.097738437,0.115500003,230,202,447,377,0,0.1
-0.097738437,0.115500003,230,202,447,377,0,0.15
-0.019547688,0.113250002,245,243,444,430,0,0.2
-0.019547688,0.113250002,245,243,444,430,0,0.25
0.050265484,0.10695,287,266,419,455,0,0.3
0.050265484,0.10695,287,266,419,455,0,0.35
0.039095376,0.101099998,326,318,419,447,0,0.4
0.039095376,0.101099998,326,318,419,447,0,0.45
0.032114059,0.095100001,366,333,441,464,0,0.5
0.032114059,0.095100001,366,333,441,464,0,0.55
0.012566371,0.087750003,415,394,442,451,0,0.6
0.012566371,0.087750003,415,394,442,451,0,0.65
0.013962634,0.083400004,442,444,445,455,0,0.7
0.013962634,0.083400004,442,444,445,455,0,0.75
0.044680428,0.069449998,503,537,437,469,0,0.8
0.044680428,0.069449998,503,537,437,469,0,0.85
-0.020943951,0.062849998,526,581,449,434,0,0.9
-0.020943951,0.062849998,526,581,449,434,0,0.95
0.018151425,0.056249999,552,625,449,462,0,1
0.018151425,0.056249999,552,625,449,462,0,1.05
-0.040491637,0.050250001,616,665,469,440,0,1.1
-0.040491637,0.050250001,616,665,469,440,0,1.15
-0.055850536,0.040199999,652,732,487,447,0,1.2
-0.055850536,0.040199999,652,732,487,447,0,1.25
-0.089360856,0.038849998,669,741,496,432,0,1.3
-0.089360856,0.038849998,669,741,496,432,0,1.35
-0.06981317,0.03675,701,755,488,438,0,1.4
-0.06981317,0.03675,701,755,488,438,0,1.45
-0.104719758,0.031950001,673,787,497,422,0,1.5
-0.104719758,0.031950001,673,787,497,422,0,1.55
-0.087964594,0.027000001,741,820,510,447,0,1.6
-0.087964594,0.027000001,741,820,510,447,0,1.65
-0.096342176,0.025800001,702,828,495,426,0,1.7
-0.096342176,0.025800001,702,828,495,426,0,1.75
-0.047472954,0.02265,715,849,487,453,0,1.8
-0.047472954,0.02265,715,849,487,453,0,1.85
-0.090757124,0.023250001,703,845,507,442,0,1.9
-0.090757124,0.023250001,703,845,507,442,2,1.95
-0.114493601,0.02715,687,819,493,411,2,2
-0.114493601,0.02715,687,819,493,411,2,2.05
-0.082379542,0.025800001,721,828,504,445,2,2.1
1.570796371,0,721,828,504,445,2,2.15
1.570796371,0,633,804,546,407,2,2.2
1.570796371,0,633,804,546,407,2,2.25
1.570796371,0,435,645,734,406,2,2.3
1.570796371,0,435,645,734,406,2,2.35
1.570796371,0,394,611,969,300,2,2.4
1.570796371,0,394,611,969,300,2,2.45
1.570796371,0,212,585,1290,375,2,2.5
1.570796371,0,212,585,1290,375,2,2.55
1.570796371,0,269,521,1987,441,2,2.6
1.570796371,0,269,521,1987,441,2,2.65
1.570796371,0,380,463,2636,485,2,2.7
1.570796371,0,380,463,2636,485,2,2.75
1.570796371,0,463,377,2003,518,2,2.8
1.570796371,0,463,377,2003,518,2,2.85
1.570796371,0,486,358,1873,563,2,2.9
1.570796371,0,486,358,1873,563,2,2.95
1.570796371,0,503,454,1781,789,2,3
1.570796371,0,503,454,1781,789,2,3.05
1.570796371,0,540,544,1718,713,2,3.1
1.570796371,0,540,544,1718,713,2,3.15
1.570796371,0,596,751,1598,425,2,3.2
1.570796371,0,596,751,1598,425,2,3.25
1.570796371,0,628,994,1445,416,2,3.3
1.570796371,0,628,994,1445,416,2,3.35
1.570796371,0,687,1367,1270,252,2,3.4
1.570796371,0,687,1367,1270,252,2,3.45
1.570796371,0,1225,2155,1054,446,2,3.5
1.570796371,0,1225,2155,1054,446,2,3.55
1.570796371,0,697,2215,626,728,2,3.6
1.570796371,0,697,2215,626,728,2,3.65
1.570796371,0,667,1673,267,1004,2,3.7
1.570796371,0,667,1673,267,1004,2,3.75
1.570796371,0,550,1636,89,1132,2,3.8
1.570796371,0,550,1636,89,1132,2,3.85
1.570796371,0,469,1521,29,1218,2,3.9
1.570796371,0,469,1521,29,1218,2,3.95
1.570796371,0,369,1445,45,1332,2,4
1.570796371,0,369,1445,45,1332,2,4.05
1.570796371,0,261,1301,30,1392,2,4.1
1.570796371,0,261,1301,30,1392,2,4.15
1.570796371,0,199,1170,11,1491,2,4.2
